emp_no,first_name,last_name,title,to_date,from_date
10122,Ohad,Esposito,Technique Leader,9999-01-01,1998-08-06
10095,Hilari,Morton,Senior Staff,9999-01-01,2000-03-09
10095,Hilari,Morton,Staff,9999-01-01,1994-03-10
10291,Dipayan,Seghrouchni,Senior Staff,9999-01-01,1994-03-30
10291,Dipayan,Seghrouchni,Staff,9999-01-01,1987-03-30
10476,Kokou,Iisaka,Senior Staff,9999-01-01,1994-09-20
10476,Kokou,Iisaka,Staff,9999-01-01,1987-09-20
10663,Teunis,Noriega,Technique Leader,9999-01-01,1993-01-23
10762,Lech,Himler,Senior Staff,9999-01-01,1999-01-21
10762,Lech,Himler,Staff,9999-01-01,1992-01-21
12643,Morrie,Schurmann,Staff,9999-01-01,1998-12-31
10933,Juyoung,Seghrouchni,Senior Engineer,9999-01-01,1993-08-02
12155,Keiichiro,Glinert,Engineer,9999-01-01,1993-09-16
12155,Keiichiro,Glinert,Senior Engineer,9999-01-01,2001-09-16
12408,Rasiah,Sudkamp,Senior Engineer,9999-01-01,1995-04-18
14075,Denny,Tchuente,Assistant Engineer,9999-01-01,1991-05-30
13499,Kazuhiko,Sidou,Technique Leader,9999-01-01,1991-09-01
14075,Denny,Tchuente,Engineer,9999-01-01,1998-05-30
14104,Sudhanshu,Demian,Senior Staff,9999-01-01,1999-07-23
14158,Caolyn,Setiz,Senior Staff,9999-01-01,1996-02-06
14104,Sudhanshu,Demian,Staff,9999-01-01,1994-07-23
14127,Magdalena,Cannard,Engineer,9999-01-01,1994-04-22
14158,Caolyn,Setiz,Staff,9999-01-01,1990-02-06
14127,Magdalena,Cannard,Senior Engineer,9999-01-01,2002-04-22
14476,Sastry,Marrevee,Engineer,9999-01-01,1999-09-25
14907,Nakhoon,Luga,Senior Staff,9999-01-01,1994-12-18
14907,Nakhoon,Luga,Staff,9999-01-01,1986-12-18
16461,Remmert,Schahn,Senior Staff,9999-01-01,1994-09-06
15050,Nikolaos,Kruskal,Engineer,9999-01-01,1990-12-17
15050,Nikolaos,Kruskal,Senior Engineer,9999-01-01,1996-12-16
15058,Bouchung,Bugrara,Senior Staff,9999-01-01,1998-06-18
15058,Bouchung,Bugrara,Staff,9999-01-01,1990-06-18
15413,Arvin,Rabejac,Engineer,9999-01-01,1994-01-01
15413,Arvin,Rabejac,Senior Engineer,9999-01-01,2002-01-01
16528,Gaurav,Swick,Assistant Engineer,9999-01-01,1996-05-07
16528,Gaurav,Swick,Engineer,9999-01-01,2001-05-07
16461,Remmert,Schahn,Staff,9999-01-01,1986-09-06
17206,Berry,DeMori,Engineer,9999-01-01,1992-12-27
17013,Morris,Garigliano,Senior Staff,9999-01-01,2000-05-23
